Step,Grid,Goal,Move
20,"[2, 5, 3, 1, 6, 0, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
21,"[2, 5, 3, 1, 0, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
22,"[2, 0, 3, 1, 5, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
23,"[0, 2, 3, 1, 5, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
24,"[1, 2, 3, 0, 5, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
25,"[1, 2, 3, 4, 5, 6, 0, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
26,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
27,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[8, 5, 2, 4, 0, 1, 3, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
2,"[8, 5, 2, 4, 1, 0, 3, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
3,"[8, 5, 0, 4, 1, 2, 3, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
4,"[8, 0, 5, 4, 1, 2, 3, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
5,"[8, 1, 5, 4, 0, 2, 3, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
6,"[8, 1, 5, 4, 6, 2, 3, 0, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
7,"[8, 1, 5, 4, 6, 2, 0, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
8,"[8, 1, 5, 0, 6, 2, 4, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
9,"[0, 1, 5, 8, 6, 2, 4, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
10,"[1, 0, 5, 8, 6, 2, 4, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
11,"[1, 5, 0, 8, 6, 2, 4, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
12,"[1, 5, 2, 8, 6, 0, 4, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
13,"[1, 5, 2, 8, 0, 6, 4, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
14,"[1, 5, 2, 8, 3, 6, 4, 0, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
15,"[1, 5, 2, 8, 3, 6, 4, 7, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
16,"[1, 5, 2, 8, 3, 0, 4, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
17,"[1, 5, 2, 8, 0, 3, 4, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
18,"[1, 5, 2, 0, 8, 3, 4, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
19,"[1, 5, 2, 4, 8, 3, 0, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
20,"[1, 5, 2, 4, 8, 3, 7, 0, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
21,"[1, 5, 2, 4, 0, 3, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
22,"[1, 0, 2, 4, 5, 3, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
23,"[1, 2, 0, 4, 5, 3, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
24,"[1, 2, 3, 4, 5, 0, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
25,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up

1,"[2, 7, 3, 5, 0, 6, 4, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
2,"[2, 7, 3, 5, 1, 6, 4, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
3,"[2, 7, 3, 5, 1, 6, 0, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
4,"[2, 7, 3, 0, 1, 6, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
5,"[2, 7, 3, 1, 0, 6, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
6,"[2, 0, 3, 1, 7, 6, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
7,"[0, 2, 3, 1, 7, 6, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
8,"[1, 2, 3, 0, 7, 6, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
9,"[1, 2, 3, 5, 7, 6, 0, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
10,"[1, 2, 3, 5, 7, 6, 4, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
11,"[1, 2, 3, 5, 0, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
12,"[1, 2, 3, 0, 5, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
13,"[1, 2, 3, 4, 5, 6, 0, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
14,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
15,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[5, 3, 6, 2, 0, 4, 8, 7, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
2,"[5, 3, 6, 2, 4, 0, 8, 7, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
3,"[5, 3, 6, 2, 4, 1, 8, 7, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
4,"[5, 3, 6, 2, 4, 1, 8, 0, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
5,"[5, 3, 6, 2, 0, 1, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
6,"[5, 3, 6, 2, 1, 0, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
7,"[5, 3, 0, 2, 1, 6, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
8,"[5, 0, 3, 2, 1, 6, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
9,"[0, 5, 3, 2, 1, 6, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
10,"[2, 5, 3, 0, 1, 6, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
11,"[2, 5, 3, 1, 0, 6, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
12,"[2, 0, 3, 1, 5, 6, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
13,"[0, 2, 3, 1, 5, 6, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
14,"[1, 2, 3, 0, 5, 6, 8, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
15,"[1, 2, 3, 8, 5, 6, 0, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
16,"[1, 2, 3, 8, 5, 6, 4, 0, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
17,"[1, 2, 3, 8, 5, 6, 4, 7, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
18,"[1, 2, 3, 8, 5, 0, 4, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
19,"[1, 2, 3, 8, 0, 5, 4, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
20,"[1, 2, 3, 0, 8, 5, 4, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
21,"[1, 2, 3, 4, 8, 5, 0, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
22,"[1, 2, 3, 4, 8, 5, 7, 0, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
23,"[1, 2, 3, 4, 0, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
24,"[1, 2, 3, 4, 5, 0, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
25,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up

1,"[1, 4, 0, 2, 6, 8, 3, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
2,"[1, 0, 4, 2, 6, 8, 3, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
3,"[1, 6, 4, 2, 0, 8, 3, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
4,"[1, 6, 4, 0, 2, 8, 3, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
5,"[1, 6, 4, 3, 2, 8, 0, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
6,"[1, 6, 4, 3, 2, 8, 7, 0, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
7,"[1, 6, 4, 3, 2, 8, 7, 5, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
8,"[1, 6, 4, 3, 2, 0, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
9,"[1, 6, 0, 3, 2, 4, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
10,"[1, 0, 6, 3, 2, 4, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
11,"[1, 2, 6, 3, 0, 4, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
12,"[1, 2, 6, 0, 3, 4, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
13,"[0, 2, 6, 1, 3, 4, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
14,"[2, 0, 6, 1, 3, 4, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
15,"[2, 3, 6, 1, 0, 4, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
16,"[2, 3, 6, 1, 4, 0, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
17,"[2, 3, 0, 1, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
18,"[2, 0, 3, 1, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
19,"[0, 2, 3, 1, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
20,"[1, 2, 3, 0, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
21,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
22,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
23,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[6, 3, 0, 5, 1, 8, 2, 7, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
2,"[6, 0, 3, 5, 1, 8, 2, 7, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
3,"[6, 1, 3, 5, 0, 8, 2, 7, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
4,"[6, 1, 3, 0, 5, 8, 2, 7, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
5,"[6, 1, 3, 2, 5, 8, 0, 7, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
6,"[6, 1, 3, 2, 5, 8, 7, 0, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
7,"[6, 1, 3, 2, 0, 8, 7, 5, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
8,"[6, 1, 3, 0, 2, 8, 7, 5, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
9,"[0, 1, 3, 6, 2, 8, 7, 5, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
10,"[1, 0, 3, 6, 2, 8, 7, 5, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
11,"[1, 2, 3, 6, 0, 8, 7, 5, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
12,"[1, 2, 3, 0, 6, 8, 7, 5, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
13,"[1, 2, 3, 7, 6, 8, 0, 5, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
14,"[1, 2, 3, 7, 6, 8, 5, 0, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
15,"[1, 2, 3, 7, 6, 8, 5, 4, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
16,"[1, 2, 3, 7, 6, 0, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
17,"[1, 2, 3, 7, 0, 6, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
18,"[1, 2, 3, 7, 4, 6, 5, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
19,"[1, 2, 3, 7, 4, 6, 0, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
20,"[1, 2, 3, 0, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
21,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
22,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
23,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[1, 7, 0, 4, 5, 6, 2, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
2,"[1, 7, 6, 4, 5, 0, 2, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
3,"[1, 7, 6, 4, 5, 3, 2, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
4,"[1, 7, 6, 4, 5, 3, 2, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
5,"[1, 7, 6, 4, 5, 3, 0, 2, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
6,"[1, 7, 6, 0, 5, 3, 4, 2, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
7,"[1, 7, 6, 5, 0, 3, 4, 2, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
8,"[1, 7, 6, 5, 3, 0, 4, 2, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
9,"[1, 7, 0, 5, 3, 6, 4, 2, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
10,"[1, 0, 7, 5, 3, 6, 4, 2, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
11,"[1, 3, 7, 5, 0, 6, 4, 2, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
12,"[1, 3, 7, 5, 2, 6, 4, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
13,"[1, 3, 7, 5, 2, 6, 4, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
14,"[1, 3, 7, 5, 2, 0, 4, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
15,"[1, 3, 0, 5, 2, 7, 4, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
16,"[1, 0, 3, 5, 2, 7, 4, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
17,"[1, 2, 3, 5, 0, 7, 4, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
18,"[1, 2, 3, 5, 7, 0, 4, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
19,"[1, 2, 3, 5, 7, 6, 4, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
20,"[1, 2, 3, 5, 7, 6, 4, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
21,"[1, 2, 3, 5, 0, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
22,"[1, 2, 3, 0, 5, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
23,"[1, 2, 3, 4, 5, 6, 0, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
24,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
25,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[4, 6, 8, 5, 0, 7, 3, 1, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
2,"[4, 6, 8, 5, 1, 7, 3, 0, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
3,"[4, 6, 8, 5, 1, 7, 3, 2, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
4,"[4, 6, 8, 5, 1, 0, 3, 2, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
5,"[4, 6, 0, 5, 1, 8, 3, 2, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
6,"[4, 0, 6, 5, 1, 8, 3, 2, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
7,"[4, 1, 6, 5, 0, 8, 3, 2, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
8,"[4, 1, 6, 5, 2, 8, 3, 0, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
9,"[4, 1, 6, 5, 2, 8, 3, 7, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
10,"[4, 1, 6, 5, 2, 0, 3, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
11,"[4, 1, 6, 5, 0, 2, 3, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
12,"[4, 1, 6, 0, 5, 2, 3, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
13,"[4, 1, 6, 3, 5, 2, 0, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
14,"[4, 1, 6, 3, 5, 2, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
15,"[4, 1, 6, 3, 0, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
16,"[4, 1, 6, 0, 3, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
17,"[0, 1, 6, 4, 3, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
18,"[1, 0, 6, 4, 3, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
19,"[1, 3, 6, 4, 0, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
20,"[1, 3, 6, 4, 2, 0, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
21,"[1, 3, 0, 4, 2, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
22,"[1, 0, 3, 4, 2, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
23,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
24,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
25,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[4, 6, 8, 5, 1, 7, 3, 0, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
2,"[4, 6, 8, 5, 1, 7, 3, 2, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
3,"[4, 6, 8, 5, 1, 0, 3, 2, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
4,"[4, 6, 0, 5, 1, 8, 3, 2, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
5,"[4, 0, 6, 5, 1, 8, 3, 2, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
6,"[4, 1, 6, 5, 0, 8, 3, 2, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
7,"[4, 1, 6, 5, 2, 8, 3, 0, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
8,"[4, 1, 6, 5, 2, 8, 3, 7, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
9,"[4, 1, 6, 5, 2, 0, 3, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
10,"[4, 1, 6, 5, 0, 2, 3, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
11,"[4, 1, 6, 0, 5, 2, 3, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
12,"[4, 1, 6, 3, 5, 2, 0, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
13,"[4, 1, 6, 3, 5, 2, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
14,"[4, 1, 6, 3, 0, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
15,"[4, 1, 6, 0, 3, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
16,"[0, 1, 6, 4, 3, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
17,"[1, 0, 6, 4, 3, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
18,"[1, 3, 6, 4, 0, 2, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
19,"[1, 3, 6, 4, 2, 0, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
20,"[1, 3, 0, 4, 2, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
21,"[1, 0, 3, 4, 2, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
22,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
23,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
24,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[2, 6, 0, 5, 8, 3, 4, 1, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
2,"[2, 6, 3, 5, 8, 0, 4, 1, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
3,"[2, 6, 3, 5, 0, 8, 4, 1, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
4,"[2, 6, 3, 5, 1, 8, 4, 0, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
5,"[2, 6, 3, 5, 1, 8, 0, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
6,"[2, 6, 3, 0, 1, 8, 5, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
7,"[2, 6, 3, 1, 0, 8, 5, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
8,"[2, 0, 3, 1, 6, 8, 5, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
9,"[0, 2, 3, 1, 6, 8, 5, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
10,"[1, 2, 3, 0, 6, 8, 5, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
11,"[1, 2, 3, 5, 6, 8, 0, 4, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
12,"[1, 2, 3, 5, 6, 8, 4, 0, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
13,"[1, 2, 3, 5, 6, 8, 4, 7, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
14,"[1, 2, 3, 5, 6, 0, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
15,"[1, 2, 3, 5, 0, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
16,"[1, 2, 3, 0, 5, 6, 4, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
17,"[1, 2, 3, 4, 5, 6, 0, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
18,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
19,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[7, 1, 2, 5, 0, 3, 4, 6, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
2,"[7, 1, 2, 5, 6, 3, 4, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
3,"[7, 1, 2, 5, 6, 3, 0, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
4,"[7, 1, 2, 0, 6, 3, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
5,"[0, 1, 2, 7, 6, 3, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
6,"[1, 0, 2, 7, 6, 3, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
7,"[1, 2, 0, 7, 6, 3, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
8,"[1, 2, 3, 7, 6, 0, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
9,"[1, 2, 3, 7, 0, 6, 5, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
10,"[1, 2, 3, 7, 4, 6, 5, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
11,"[1, 2, 3, 7, 4, 6, 0, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
12,"[1, 2, 3, 0, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
13,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
14,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
15,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

