Step,Grid,Goal,Move
3,"[5, 6, 0, 3, 2, 7, 1, 8, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
4,"[5, 0, 6, 3, 2, 7, 1, 8, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
5,"[5, 2, 6, 3, 0, 7, 1, 8, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
6,"[5, 2, 6, 3, 7, 0, 1, 8, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
7,"[5, 2, 6, 3, 7, 4, 1, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
8,"[5, 2, 6, 3, 7, 4, 1, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
9,"[5, 2, 6, 3, 0, 4, 1, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
10,"[5, 2, 6, 0, 3, 4, 1, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
11,"[0, 2, 6, 5, 3, 4, 1, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
12,"[2, 0, 6, 5, 3, 4, 1, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
13,"[2, 3, 6, 5, 0, 4, 1, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
14,"[2, 3, 6, 0, 5, 4, 1, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
15,"[2, 3, 6, 1, 5, 4, 0, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
16,"[2, 3, 6, 1, 5, 4, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
17,"[2, 3, 6, 1, 0, 4, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
18,"[2, 3, 6, 1, 4, 0, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
19,"[2, 3, 0, 1, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
20,"[2, 0, 3, 1, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
21,"[0, 2, 3, 1, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
22,"[1, 2, 3, 0, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
23,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
24,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
25,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[8, 5, 3, 4, 0, 6, 7, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
2,"[8, 0, 3, 4, 5, 6, 7, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
3,"[0, 8, 3, 4, 5, 6, 7, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
4,"[4, 8, 3, 0, 5, 6, 7, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
5,"[4, 8, 3, 7, 5, 6, 0, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
6,"[4, 8, 3, 7, 5, 6, 2, 0, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
7,"[4, 8, 3, 7, 5, 6, 2, 1, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
8,"[4, 8, 3, 7, 5, 0, 2, 1, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
9,"[4, 8, 3, 7, 0, 5, 2, 1, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
10,"[4, 8, 3, 0, 7, 5, 2, 1, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
11,"[4, 8, 3, 2, 7, 5, 0, 1, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
12,"[4, 8, 3, 2, 7, 5, 1, 0, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
13,"[4, 8, 3, 2, 0, 5, 1, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
14,"[4, 0, 3, 2, 8, 5, 1, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
15,"[0, 4, 3, 2, 8, 5, 1, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
16,"[2, 4, 3, 0, 8, 5, 1, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
17,"[2, 4, 3, 1, 8, 5, 0, 7, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
18,"[2, 4, 3, 1, 8, 5, 7, 0, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
19,"[2, 4, 3, 1, 0, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
20,"[2, 0, 3, 1, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
21,"[0, 2, 3, 1, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
22,"[1, 2, 3, 0, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
23,"[1, 2, 3, 4, 0, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
24,"[1, 2, 3, 4, 5, 0, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
25,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up

1,"[0, 7, 5, 8, 3, 2, 6, 1, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
2,"[7, 0, 5, 8, 3, 2, 6, 1, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
3,"[7, 3, 5, 8, 0, 2, 6, 1, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
4,"[7, 3, 5, 8, 1, 2, 6, 0, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
5,"[7, 3, 5, 8, 1, 2, 6, 4, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
6,"[7, 3, 5, 8, 1, 0, 6, 4, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
7,"[7, 3, 0, 8, 1, 5, 6, 4, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
8,"[7, 0, 3, 8, 1, 5, 6, 4, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
9,"[7, 1, 3, 8, 0, 5, 6, 4, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
10,"[7, 1, 3, 8, 4, 5, 6, 0, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
11,"[7, 1, 3, 8, 4, 5, 0, 6, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
12,"[7, 1, 3, 0, 4, 5, 8, 6, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
13,"[0, 1, 3, 7, 4, 5, 8, 6, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
